# ----------------------------- WARNNG --------------------------------
# The data you have obtained from this automated U.S. Geological Survey
# database have not received Director's approval and as such are
# provisional and subject to revision.  The data are released on the
# condition that neither the USGS nor the United States Government may
# be held liable for any damages resulting from its use.
#
# Additional information can be obtained from the USGS at
#   http://waterdata.usgs.gov/nwis/help/?provisional
#
# retrieved: 2006-06-04 23:40:13 EDT
#
# This file consists of tab-separated columns of data for a list of sites.
# Each site is separated by a header section of comments and new column
# definitions. All column headers include the following 3 fields.
#
# column        column definition
# ------------  -----------------------------------------
# agency_cd     Agency collection or maintaining the site
# site_no       USGS site identification number
# datetime      date and time in ISO format (YYYY-mm-dd)
#
# The remaining columns vary for each site depending on which data
# parameters are selected.  The data column names use the following form
# '##_#####' where the first two number sequence uniquely defines the
# sensor (the 'data descriptor') used to collect the data and the
# following 5 number sequence defines the 'parameter_cd' which describes
# the type of data shown in the column.
#
# Data for the following stations is contained in this file
# ---------------------------------------------------------
#  USGS 01100000 MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA
#
# Available data at this site--lines with asterix '*' are included in this output.
#    DD parameter statistic - Description
#    --   -----     -----     ------------------------------------
#   *02   00060     00003   - Discharge, cubic feet per second (Mean)
#
# Data-value qualifiers included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
#agency_cd	site_no	datetime	02_00060_00003
#5s	15s	16s	14s
USGS	01100000	1923-06-01	4800_A
USGS	01100000	1923-06-02	3490_A
USGS	01100000	1923-06-03	2880_A
USGS	01100000	1923-06-04	4680_A
USGS	01100000	1923-06-05	3600_A
USGS	01100000	1923-06-06	4020_A
USGS	01100000	1923-06-07	4020_A
USGS	01100000	1923-06-08	4350_A
USGS	01100000	1923-06-09	5520_A
USGS	01100000	1923-06-10	5640_A
USGS	01100000	1923-06-11	6150_A
USGS	01100000	1923-06-12	5280_A
USGS	01100000	1923-06-13	4570_A
USGS	01100000	1923-06-14	4020_A
USGS	01100000	1923-06-15	4020_A
USGS	01100000	1923-06-16	2780_A
USGS	01100000	1923-06-17	1890_A
USGS	01100000	1923-06-18	3800_A
USGS	01100000	1923-06-19	3280_A
USGS	01100000	1923-06-20	3180_A
USGS	01100000	1923-06-21	2880_A
USGS	01100000	1923-06-22	3180_A
USGS	01100000	1923-06-23	2420_A
USGS	01100000	1923-06-24	1760_A
USGS	01100000	1923-06-25	2980_A
USGS	01100000	1923-06-26	2420_A
USGS	01100000	1923-06-27	2180_A
USGS	01100000	1923-06-28	2260_A
USGS	01100000	1923-06-29	3180_A
USGS	01100000	1923-06-30	1820_A
USGS	01100000	1923-07-01	1010_A
USGS	01100000	1923-07-02	2780_A
USGS	01100000	1923-07-03	2880_A
USGS	01100000	1923-07-04	820_A
USGS	01100000	1923-07-05	2780_A
USGS	01100000	1923-07-06	3080_A
USGS	01100000	1923-07-07	1640_A
USGS	01100000	1923-07-08	652_A
USGS	01100000	1923-07-09	2340_A
