Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	FRODO		User Waypoint	N42 49.271 W70 48.804	29 ft				Symbol & Name	Unknown	Contact, Biker							
Waypoint	GANDALF		User Waypoint	N42 48.929 W70 47.413	0.4 ft				Symbol & Name	Unknown	Contact, Ranger							
Waypoint	GIMLI		User Waypoint	N42 48.710 W70 48.192	0.4 ft				Symbol & Name	Unknown	Contact, Goatee							
Waypoint	LEGOLAS		User Waypoint	N42 48.328 W70 48.374	0.4 ft				Symbol & Name	Unknown	Contact, Alien							
Waypoint	PIPPIN		User Waypoint	N41 35.694 W70 54.600	45 ft				Symbol & Name	Unknown	Contact, Pirate							
Waypoint	SAMWISE		User Waypoint	N42 48.338 W70 48.309	0.4 ft				Symbol & Name	Unknown	Contact, Ball Cap							
Waypoint	STRIDER		User Waypoint	N42 48.788 W70 47.606	0.4 ft				Symbol & Name	Unknown	Contact, Spike							


Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG	5/21/2006 6:58:05 AM 	00:23:31	1.08 mi	2.8 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N42 48.755 W70 51.968	5/21/2006 6:58:05 AM 	123 ft
Trackpoint	N42 48.755 W70 51.968	5/21/2006 6:58:21 AM 	123 ft		0 ft	00:00:16	0 mph	0° true
Trackpoint	N42 48.758 W70 51.968	5/21/2006 6:58:36 AM 	120 ft		16 ft	00:00:15	0.71 mph	0° true
Trackpoint	N42 48.759 W70 51.966	5/21/2006 6:58:51 AM 	105 ft		10 ft	00:00:15	0.44 mph	36° true
Trackpoint	N42 48.759 W70 51.966	5/21/2006 6:59:06 AM 	86 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.759 W70 51.966	5/21/2006 6:59:21 AM 	65 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.761 W70 51.966	5/21/2006 6:59:36 AM 	43 ft		16 ft	00:00:15	0.71 mph	0° true
Trackpoint	N42 48.761 W70 51.966	5/21/2006 6:59:51 AM 	34 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.761 W70 51.966	5/21/2006 7:00:06 AM 	29 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.763 W70 51.965	5/21/2006 7:00:21 AM 	24 ft		10 ft	00:00:15	0.44 mph	36° true
Trackpoint	N42 48.763 W70 51.965	5/21/2006 7:00:36 AM 	24 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.763 W70 51.968	5/21/2006 7:00:51 AM 	24 ft		11 ft	00:00:15	0.52 mph	270° true
Trackpoint	N42 48.764 W70 51.968	5/21/2006 7:01:06 AM 	11 ft		8 ft	00:00:15	0.36 mph	0° true
Trackpoint	N42 48.764 W70 51.968	5/21/2006 7:01:21 AM 	15 ft		0 ft	00:00:15	0 mph	0° true
Trackpoint	N42 48.764 W70 51.965	5/21/2006 7:01:36 AM 	26 ft		11 ft	00:00:15	0.52 mph	90° true
